Timestamp,EEG.F7,EEG.F8,dummy
1733043503.582605,-10.472946,-68.240944,0
1733043503.590418,-14.048628,-74.320389,0
1733043503.59823,-11.473041,-86.541458,0
1733043503.606044,-9.924644,-96.188759,0
1733043503.613857,-19.648565,-99.678726,0
1733043503.62167,-30.387379,-102.652893,0
1733043503.629483,-23.184683,-101.013321,0
1733043503.637296,-6.767653,-90.153847,0
1733043503.645109,-4.199347,-77.768303,0
1733043503.652922,-9.830532,-64.370537,0
1733043503.660735,-5.72224,-57.133858,0
1733043503.668548,5.554252,-60.15057,0
1733043503.676361,13.233313,-59.578114,0
1733043503.684174,15.781618,-53.370842,0
1733043503.691987,9.105836,-61.002087,0
1733043503.6998,0.3875,-74.773392,0
1733043503.707613,-0.125196,-84.944771,0
1733043503.715426,-8.834301,-96.1306,0
1733043503.72324,-28.805468,-100.645233,0
1733043503.731053,-29.801277,-97.983055,0
1733043503.738866,-15.42686,-95.835838,0
1733043503.746678,-11.825279,-86.006157,0
1733043503.754492,-11.813454,-73.112457,0
1733043503.762305,-6.678564,-76.11319,0
1733043503.770118,-0.524193,-78.598618,0
1733043503.777931,9.722486,-66.224632,0
1733043503.785744,18.934301,-55.399948,0
1733043503.793557,18.403059,-52.783009,0
1733043503.80137,17.872349,-55.291763,0
1733043503.809183,13.243707,-62.921089,0
1733043503.816996,-7.774152,-73.104317,0
1733043503.824809,-30.820225,-88.400444,0
1733043503.832622,-36.937096,-96.508972,0
1733043503.840435,-26.141697,-86.166306,0
1733043503.848248,-16.38171,-78.395523,0
1733043503.856061,-13.291482,-80.87867,0
1733043503.863874,-3.544344,-70.551636,0
1733043503.871688,10.803816,-57.673393,0
1733043503.879501,6.69455,-60.177258,0
1733043503.887313,-8.681376,-55.50631,0
1733043503.895126,-10.209617,-48.278496,0
1733043503.90294,-3.0271,-55.914833,0
1733043503.910753,1.586697,-57.90815,0
1733043503.918566,4.146648,-55.288704,0
1733043503.926379,-4.054421,-61.893414,0
1733043503.934192,-16.858059,-60.294598,0
1733043503.942005,-9.156586,-50.500458,0
1733043503.949818,5.709494,-56.597649,0
1733043503.957631,-4.030062,-65.250282,0
1733043503.965444,-20.932186,-68.258881,0
1733043503.973257,-17.837408,-84.584465,0
1733043503.98107,-23.454954,-108.578339,0
1733043503.988883,-42.899193,-112.055916,0
1733043503.996696,-23.900908,-83.254631,0
1733043504.004509,8.910686,-51.920605,0
1733043504.012322,-3.39361,-57.50407,0
1733043504.020136,-25.931755,-76.401955,0
1733043504.027949,-8.487362,-66.591705,0
1733043504.035761,6.378049,-55.254341,0
1733043504.043574,2.785517,-59.809856,0
1733043504.051388,8.930424,-53.602356,0
1733043504.059201,10.458416,-48.937984,0
1733043504.067014,0.714112,-61.184429,0
1733043504.074827,-1.848141,-69.320168,0
1733043504.08264,-5.432446,-77.960075,0
1733043504.090453,-9.525476,-90.689812,0
1733043504.098266,-11.565181,-90.599121,0
1733043504.106079,-33.582848,-95.119293,0
1733043504.113892,-55.578495,-106.294945,0
1733043504.121705,-41.690609,-96.454803,0
1733043504.129518,-24.742764,-86.624496,0
1733043504.137331,-29.841099,-96.271721,0
1733043504.145144,-27.249718,-91.052376,0
1733043504.152957,-12.877853,-77.641319,0
1733043504.16077,-12.352668,-87.80983,0
1733043504.168584,-14.901854,-89.771255,0
1733043504.176396,-7.714644,-63.553791,0
